,BID NO, items,Quantity Required,Department Name And Address,Start Date,End Date
0,GEM/2019/B/386085,Multifunction Machines MFM,Quantity Required: 1,"Department Name And Address:
Ministry Of Defence
Department Of Defence
323 Fd Regt Indian Army",13-10-2019 03:58 PM,23-10-2019 04:00 PM
1,GEM/2019/B/381504,Potable Water Purification System Reverse Osmosis Or UV Based,Quantity Required: 1,"Department Name And Address:
Haryana
Higher Education Department Haryana
Khanpur Kalan Sonipat B.p.s Mahila Vishwavidyalaya Khanpur Kalan",09-10-2019 03:08 PM,23-10-2019 04:00 PM
2,GEM/2019/B/344116,Automotive Vehicles Pneumatic Tyres,Quantity Required: 2,"Department Name And Address:
Gujarat
Labour And Employment Department Gujarat
Industrial Training Institute Bilimora Directorate Of Employment & Training",05-09-2019 03:49 PM,23-10-2019 04:00 PM
3,GEM/2019/B/380179,Cars,Quantity Required: 1,"Department Name And Address:
Ministry Of Power
Na
Bhakra Beas Management Board, Chandigarh N/a",07-10-2019 03:12 PM,23-10-2019 04:00 PM
4,GEM/2019/B/386124,TREADMILLS,Quantity Required: 1,"Department Name And Address:
Ministry Of Home Affairs
Central Armed Police Forces
Panisagar Tripura (north) Border Security Force (bsf)",13-10-2019 12:37 PM,23-10-2019 04:00 PM
5,GEM/2019/B/375353,High Pressure Laminate,Quantity Required: 5760,"Department Name And Address:
Madhya Pradesh
Department Of Higher Education Madhya Pradesh
N/a",03-10-2019 03:57 PM,23-10-2019 04:00 PM
6,GEM/2019/B/375356,Specialty Fabrics Or Cloth Hdpe Fabrics,Quantity Required: 900,"Department Name And Address:
Madhya Pradesh
Department Of Higher Education Madhya Pradesh
N/a",03-10-2019 03:48 PM,23-10-2019 04:00 PM
7,GEM/2019/B/381544,Desktop Computers,Quantity Required: 40,"Department Name And Address:
Ministry Of Information And Broadcasting
Na
Office Of Adg(e) North Zone All India Radio And Doordarshan Prasar Bharati Broadcasting Corporation Of India",09-10-2019 03:51 PM,23-10-2019 04:00 PM
8,GEM/2019/B/386135,Clothes Lockers - Steel,Quantity Required: 3,"Department Name And Address:
Gujarat
General Administration Department Gujarat
New Delhi Gujarat Bhawan And Office Of The Resident Commissioner New Delhi",13-10-2019 03:34 PM,23-10-2019 04:00 PM
9,GEM/2019/B/356897,USB Camera For Video Conferencing System,Quantity Required: 1,"Department Name And Address:
Ministry Of Human Resource Development
Department Of Higher Education
Calicut National Institute Of Technology (nit)",19-09-2019 04:00 PM,23-10-2019 04:00 PM
