,Pos,Team,Weighted Matches,Points,Rating
0,1,Pakistan,29,"7,935",274
1,2,England,16,"4,253",266
2,3,South Africa,18,"4,720",262
3,4,India,33,"8,620",261
4,5,Australia,21,"5,471",261
5,6,New Zealand,19,"4,784",252
6,7,Sri Lanka,24,"5,777",241
7,8,Afghanistan,20,"4,694",235
8,9,West Indies,24,"5,378",224
9,10,Bangladesh,20,"4,468",223
10,11,UAE,21,"4,065",194
11,12,Scotland,18,"3,441",191
12,13,Nepal,21,"3,992",190
13,14,Ireland,30,"5,681",189
14,15,Oman,12,"2,266",189
15,16,Zimbabwe,21,"3,953",188
16,17,Papua New Guinea,25,"4,351",174
17,18,Netherlands,23,"3,983",173
18,19,Namibia,16,"2,285",143
19,20,Singapore,18,"2,553",142
20,21,Hong Kong,15,"2,106",140
21,22,Qatar,19,"2,427",128
22,23,Saudi Arabia,11,"1,331",121
23,24,Canada,13,"1,568",121
24,25,Italy,10,"1,121",112
25,26,Jersey,19,"2,103",111
26,27,Denmark,12,"1,277",106
27,28,Kenya,15,"1,563",104
28,29,Kuwait,13,"1,354",104
29,30,Bermuda,10,950,95
30,31,Germany,18,"1,535",85
31,32,United States,15,"1,208",81
32,33,Botswana,17,"1,355",80
33,34,Ghana,10,773,77
34,35,Uganda,14,"1,069",76
35,36,Norway,9,638,71
36,37,Austria,11,778,71
37,38,Romania,6,419,70
38,39,Nigeria,12,829,69
39,40,Malaysia,26,"1,771",68
40,41,Guernsey,15,969,65
41,42,Sweden,8,465,58
42,43,Tanzania,6,334,56
43,44,Cayman Islands,8,430,54
44,45,Spain,12,602,50
45,46,Philippines,9,433,48
46,47,Argentina,17,771,45
47,48,France,6,267,45
48,49,Vanuatu,20,864,43
49,50,Belize,9,377,42
50,51,Luxembourg,10,407,41
51,52,Bahrain,7,261,37
52,53,Peru,13,458,35
53,54,Fiji,6,210,35
54,55,Panama,9,291,32
55,56,Belgium,9,290,32
56,57,Samoa,10,317,32
57,58,Japan,10,317,32
58,59,Costa Rica,8,252,32
59,60,Mexico,17,520,31
60,61,Hungary,6,180,30
61,62,Mozambique,12,352,29
62,63,Thailand,14,369,26
63,64,Malawi,12,297,25
64,65,Israel,7,173,25
65,66,Czech Republic,15,355,24
66,67,Finland,13,296,23
67,68,Bhutan,8,180,23
68,69,South Korea,10,217,22
69,70,Isle of Man,7,149,21
70,71,Chile,14,265,19
71,72,Malta,11,158,14
72,73,Bulgaria,5,68,14
73,74,Sierra Leone,5,61,12
74,75,Brazil,13,143,11
75,76,Maldives,11,114,10
76,77,Saint Helena,12,109,9
77,78,Gibraltar,8,35,4
78,79,Myanmar,9,23,3
79,80,Indonesia,7,3,0
80,81,China,11,0,0
81,82,Gambia,6,0,0
82,83,Swaziland,6,0,0
83,84,Rwanda,6,0,0
84,85,Lesotho,6,0,0
